titulo	nombre	reparticion	sigla	sexo
Sr	Oscar Alberto Medina	Dirección General Áreas de Conservación	DGARCON	M
Sr	Juan Carlos Bochicchio	Dirección General Arquitectura de Datos	DGARD	M
Sra	Ruth Elisa Landerreche Alonso	Dirección General Articulación Comunal y Participación Ciudadana en Comisarias	DGACPCC	F
Sra	Rocio Estevez	Dirección General Articulación de Proyectos Estratégicos	DGAPE	F
Sra	Mariana Ines Calcagno	Dirección General Articulación Institucional para la Igualdad de Género	DGAIIG	F
Sra	Paula Matach Krumpholz	Dirección General Articulación Interjurisdiccional	DGARI	F
Sr	Mariano Rusconi	Dirección General Articulación Interjurisdiccional del Deporte	DGAID	M
Sra	Yanina Nano Lembo	Dirección General Articulación Público Privada	DGAPP	F
Sra	Maria Guadalupe Rossi	Dirección General Articulación Territorial	DGATE	F
Sr	Marcelo Bouzas	Dirección General Asuntos Gremiales y Formación Sindical	DGAGFS	M
Sra	Veronica Antun	Dirección General Asuntos Jurídicos y Recursos Humanos	DGAJRH	F
Sra	Luisina Posse	Dirección General Atención Ciudadana	DGATCIUD	F
Sr	Lucas Castrogiovanni	Dirección General Atención Integral Inmediata	DGAII	M
Dra	ANA MARIA GOMEZ SALDAÑO	Dirección General Atención Primaria	DGATP	F
Sr	Guillermo Manuel Sanchez Sterli	Dirección General Búsqueda de Personas	DGBP	M
Sr	Javier Altszyler	Dirección General Canales Digitales	DGCDI	M
Sra	Damasia Malbran	Dirección General Carrera Docente	DGCDO	F
Sr	Martin Maffuchi	Dirección General Cementerios	DGCEME	M
Sr	diego berardo	Dirección General Centro Cultural General San Martín	CCGSM	M
Sr	Federico Saravia	Dirección General Ciencia y Tecnología	DGCYTEC	M
Sra	Maria Dorado	Dirección General Ciencias de la Información	DGCINFO	F
Lic	Camila Varela	Dirección General Ciudad Amigable para Personas Mayores	DGCAPM	F
Sr	Pedro Ignacio Alessandri	Dirección General Ciudadanía Digital	DGCIUD	M
Sra	Mercedes Barbara	Dirección General Colectividades	DGCOL	F
Sr	Emmanuel Maximiliano Gil	Dirección General Compensaciones	DGCOMP	M
Sr	Luciano Martinez	Dirección General Competencias Comunales y Talleres	DGCCT	M
Sra	Marisa Andrea Tojo	Dirección General Compras y Contrataciones	DGCYC	F
Lic	Nuria Gomez Videla	Dirección General Comunicación	DGCOMUNIC	F
Sr	Ramiro Ezequiel Serrano	Dirección General Comunicación	DGCOMUNI	M
Sr	Juan Jose Bernardo Damico	Dirección General Comunicación con el sector privado y con el Tercer Sector	DGCSPTS	M
Sr	Lucas Figueras	Dirección General Comunicación Interjuridisccional	DGCIN	M
Sr	Pablo Policicchio	Dirección General Comunicación y Relaciones Institucionales	DGCOYRI	M
Sr	FERNANDO JORGE CAFASSO	Dirección General Concesiones y Permisos	DGCOYP	M
Sra	Rosario Palacio	Dirección General Conservación del Paisaje Urbano	DGCDPU	F
Sra	Lucia Griselda Gabelli	Dirección General Contaduría	DGCG	F
Cdor	Ramon Gauto	Dirección General Contaduría Adjunta	DGCGADJ	M
Sr	Federico Veiga	Dirección General Contenidos	DGCONTE	M
Sr	Yamil Nahuel Minakowski	Dirección General Control Ambiental	DGCONTA	M
Ing	Antonella Fiorella Pagano	Dirección General Control de Gestión	DGCGEST	F
Sra	Mariana Florencia Kamian	Dirección General Control y Seguimiento de Gestión	DGCSG	F
Sra	Natasha Steinberg	Dirección General Convivencia en la Diversidad	DGCDIV	F
Sra	Maria Victoria Alcaraz	Dirección General Cooperación Cultural Internacional	DGCCI	F
Sr	Ruben Osvaldo Barabani	Dirección General Cooperación e Intercambio de Información	DGCII	M
Dra	Nancy Rocchi	Dirección General Coordinación de Contrataciones y Administración	DGCCYA	F
Sra	Valentina Papes	Dirección General Coordinación de Gestión	DGCGESTI	F
Sr	Fernando Rodolfo Villa	Dirección General Coordinación del Sistema Integral de Prácticas	DGCSIP	M
Sra	PAULA DANIELA COLOMBO	Dirección General Coordinación Legal e Institucional	DGCLEI	F
Sra	Maria Julieta Colecchia Corso	Dirección General Coordinación Legal y Consolidación Normativa	DGCLCON	F
Sr	David Kucawca	Dirección General Coordinación Operativa	DGCOPE	M
Sr	Matias Horacio Ojeda	Dirección General Coordinación Operativa de Detenidos	DGCOD	M
Sr	Carlos Maria Brun	Dirección General Coordinación Operativa del Cuerpo de Agentes de Prevención	DGCOCAP	M
Sra	Laura Silvina Waynsztok	Dirección General Coordinación Tecnologías y Financiamiento en Salud	DGCTFS	F
Sr	Ignacio Salaberri	Dirección General Coordinación y Vinculación Estratégica	DGCVE	M
Lic	Cristina Susana Beatriz Deisernia	Dirección General Coordinación y Vinculación para Personas Mayores	DGCVPM	F
Sr	Leandro Maximiliano Ricciardi	Dirección General Cuerpo de Agentes de Tránsito	DGCATRA	M
Sra	Cecilia Steger	Dirección General Cultura del Servicio Público	DGCSP	F
Sra	Maria Eugenia Botteri Domecq	Dirección General Cultura Organizacional del Sistema Público de Salud	DGCODSPS	F
Sr	Daniel Oscar Mojico	Dirección General Cultura y Derechos Humanos	DGCDH	M
Sra	Carolina Barone	Dirección General de la Mujer	DGMUJ	F
Sra	Lorena Schejtman	Dirección General De Música	DGMUS	F
Sr	Alberto Angel Carita	Dirección General Defensa Civil	DGDCIV	M
Sra	VILMA CECILIA BOUZA	Dirección General Defensa y Protección al Consumidor	DGDYPC	F
Sr	Carlos Alberto Yoshida	Dirección General Deporte Social y Desarrollo Deportivo	DGDSYDD	M
Sra	Mora Scillama	Dirección General Desarrollo Cultural y Creativo	DGDCC	F
Sr	Roberto Fidel Candiano	Dirección General Desarrollo de Infancias y Adolescencias	DGDIYA	M
Sra	MARIA BELEN FLORES	Dirección General Desarrollo del Servicio Civil	DGDSCIV	F
Sra	MARIA ROSARIO ANGELILLO	Dirección General Desarrollo e Inclusión Social	DGDEIS	F
Sra	Marcela Viviana Casabella	Dirección General Desarrollo Familiar	DGDF	F
Sr	Julio Tahier	Dirección General Desarrollo Gastronomico	DGDGAS	M
Sr	Fernando Agustin Artuso	Dirección General Desarrollo Institucional y Modernización	DGDIM	M
Sra	Clara Sanguinetti	Dirección General Diseño e Implementación	DGDEI	F
Dra	Maria Laura Garau	Dirección General Docencia Investigación y Desarrollo Profesional	DGDIYDP	F
Sra	MAGDALENA VILLEGAS	Dirección General Economía Popular y Social	DGEPS	F
Sr	Fabian Capponi	Dirección General Educación de Gestión Estatal	DGEGE	M
Sra	Maria Constanza Ortiz	Dirección General Educación de Gestión Privada	DGEGP	F
Sra	Julia Campos	Dirección General Educación Digital	DGED	F
Sr	Axel Mc Callum	Dirección General Eficiencia Administrativa	DGEADM	M
Sr	Sergio Scappini	Dirección General Empleo	DGEMP	M
Sr	Federico Saravia	Dirección General Emprendedores	DGEMPRE	M
Sr	Alejandro Casavalle	Dirección General Enseñanza Artística	DGEART	M
Sr	Martin Arana	Dirección General Escribanía General	DGEGRAL	M
Prof	Christian Luis Foltran	Dirección General Escuela Abierta	DGESCA	M
Sra	Maria Noelia Carmona Martinez	Dirección General Escuela de Maestros	DGESM	F
Sra	Lucia Ferrari	Dirección General Espacios Verdes y Arbolado	DGEVYA	F
Sr	Nahuel Ezequiel Atienza	Dirección General Estadística Criminal y Mapa del Delito	DGECMD	M
Lic	Jose Maria Donati	Dirección General Estadística y Censos	DGESYC	M
Sr	Matias Podesta	Dirección General Estrategia de Vinculación Federal	DGEVF	M
Sra	Maria Jose Suarez Villabona	Dirección General Estrategia Productiva	DGEPR	F
Ing	Fabian Prieto	Dirección General Estrategias Educativas	DGEEDU	M
Sra	Maria Julia De Bariazarra	Dirección General Estrategias y Fortalecimiento Territorial	DGEFT	F
Sra	María Luján Azcurra	Dirección General Evaluación Ambiental	DGEVA	F
Sr	Maximo Arieu	Dirección General Evaluación del Gasto	DGEGAS	M
Sr	Augusto Allemand	Dirección General Experiencia Digital	DGEDIG	M
Sra	Romina Marson	Dirección General Festivales y Eventos Centrales	DGFYEC	F
Sra	Valeria Romina Focaraccio	Dirección General Fiscalización Urbana	DGFU	F
Sra	Paula Scauzillo	Dirección General Fiscalización y Control	DGFYC	F
Sr	Osvaldo Alonso	Dirección General Fiscalización y Control de Obras	DGFYCO	M
Sr	Andres Monsalvo	Dirección General Gestión de Capital Humano	DGGCH	M
Sr	Juan Francisco Rico	Dirección General Gestión de la Flota Automotor	DGGFA	M
Sr	Ignacio Agustin Salaverri	Dirección General Gestión de Servicios de Movilidad	DGGSM	M
Sr	Juan Pablo Becerra	Dirección General Gestión del Aprendizaje a lo largo de toda la vida	DGGALV	M
Sra	Maria Florencia Nestasio	Dirección General Gestión Documental	DGGEDOC	F
Sr	Federico Guillermo Gatti Lavisse	Dirección General Gestión Metropolitana y Transferencia de Competencias	DGGMTC	M
Sra	Natalia Roji	Dirección General Gestión Pública para la Igualdad de Género	DGGPIG	F
Sr	Julio Delgado	Dirección General Gestión y Experiencia Ciudadana en el Sistema de Salud Público	DGGECSSP	M
Sr	Walter Gomez Diz	Dirección General Guardia de Auxilio y Emergencias	DGGAYE	M
Sr	Fernando Martin Barbiero	Dirección General Habilitación de Conductores	DGHC	M
Sr	Jorge Alberto Alvarez Millet	Dirección General Habilitaciones y Permisos	DGHP	M
Sr	Ignacio Parera	Dirección General Higiene y Seguridad Alimentaria	DGHYSA	M
Dr	Sergio Auger	Dirección General Hospitales	DGHOSP	M
Sra	Nvard Nazaryan	Dirección General Inclusión Social	DGISO	F
Sr	Emilio Alonso	Dirección General Infraestructura	DGINFRAES	M
Sr	Federico Tuffano	Dirección General Infraestructura	DGIASINF	M
Sra	Eugenia Fevre	Dirección General Infraestructura del Transporte	DGIT	F
Sr	Martin Carpinacci	Dirección General Infraestructura Escolar	DGINFE	M
Sr	Federico Tomas Larroca	Dirección General Infraestructura Social	DGINFS	M
Sr	Gabriel Rosales	Dirección General Infraestructura Urbana	DGINURB	M
Sra	Jacqueline Forschner	Dirección General Infraestructura y Mantenimiento	DGIYMA	F
Sr	Claudio Cane	Dirección General Ingeniería y Arquitectura	DGINYAR	M
Sra	Sofia Guichandut	Dirección General Innovación	DGINN	F
Sra	Maria Victoria Torrisi	Dirección General Innovación en Transformación Cultural	DGITC	F
Sr	Juan Carlos Isi	Dirección General Inserción Económica Internacional	DGIEI	M
Sra	María de los Angeles Maratea	Dirección General Inserción Laboral de la Mujer	DGILM	F
Sra	Irina Moroni Raffaglio	Dirección General Integración	DGINTE	F
Sr	Christian Daniel Vazquez	Dirección General Integración de Sistemas	DGISIS	M
Sr	DANILO ROSSI	Dirección General Integración Económica	DGINE	M
Sr	JUAN FRANCISCO MERLINO	Dirección General Integración Social	DGINS	M
Sra	Sandra Tuya	Dirección General Interpretación Urbanística	DGIUR	F
Sra	Carolina Fitzpatrick	Dirección General Legal y Técnica	DGLTMSGC	F
Sra	SABRINA WOLFF	Dirección General Legal y Técnica	DGLYTAGC	F
Sr	Ramiro Peralta	Dirección General Limpieza	DGLIM	M
Sr	Rodrigo Duna	Dirección General Logística	DGLO	M
Sr	Leandro Dario Diaco	Dirección General Logística y Flota	DGLF	M
Ing	Marcelo Pasquini	Dirección General Mantenimiento Escolar	DGMESC	M
Sr	Alvaro Quiroga	Dirección General Mejoramiento de Vivienda	DGMV	M
Sr	Hernan Najenson	Dirección General Micro Pequeñas y Medianas Empresas	DGMPME	M
Sr	Gastón David Sola	Dirección General Monitoreo y Evaluación	DGMEV	M
Sra	Micaela Mancebo	Dirección General Obras Comunales	DGOCO	F
Sr	Lucas Molinero	Dirección General Obras de Regeneración Urbana	DGORU	M
Lic	Mercedes Ferrari	Dirección General Obras en Vías Peatonales	DGOVP	F
Lic	Francisco Kolliker Frers	Dirección General Oficina de Gestión Pública y Presupuesto - OGEPU	DGOGPP	M
Sr	Lucas Llaurado	Dirección General Operación de Reciclado	DGOR	M
Sr	Ramiro Fernandez	Dirección General Opinión Pública	DGOPP	M
Sr	Vicente Marcelo Zeolla	Dirección General Orden Público y Coordinación de Agentes	DGOPCA	M
Sr	Juan Speroni Hernandez	Dirección General Participación Ciudadana y Cercanía	DGPCC	M
Sra	Martina Magaldi	Dirección General Patrimonio Museos y Casco Histórico	DGPMYCH	F
Sra	Bettina Viviana Diaz	Dirección General Personal Docente y No Docente	DGPDYND	F
Sr	Carlos Alberto Alvarez	Dirección General Planeamiento de Emergencia y Coordinación de Bomberos	DGPEYCB	M
Sra	Vanina Caruso	Dirección General Planeamiento de Medios	DGPLM	F
Sr	Javier Simon	Dirección General Planeamiento Educativo	DGPLEDU	M
Sr	Luis Oscar Cabillon	Dirección General Planeamiento Urbano	DGPLUR	M
Sra	Guadalupe Baricco Prats	Dirección General Planificación Estratégica	DGPLE	F
Sr	Dino Nicolas Buzzi	Dirección General Planificación Uso y Evaluación	DGPUE	M
Cdor	Pablo Matias Asnaghi	Dirección General Planificación y Control	DGPLYCON	M
Sra	Magali Tiziana Hovassapian	Dirección General Planificación y Control de Gestión	DGPLCG	F
Sr	Leandro Bianchi	Dirección General Planificación y Control Operativo	DGPLYCO	M
Sra	Ines Lobos	Dirección General Planificación y Coordinación de Gestión	DGPCGE	F
Sra	Karina Soto	Dirección General Planificación y Coordinación de Intervenciones Urbanas	DGPCIURB	F
Sr	Nicolás Gimbatti	Dirección General Planificación y Discurso	DGPLYD	M
Sra	Carola Jersonsky	Dirección General Planificación y Evaluación de Recursos	DGPER	F
Sra	Sabrina Slauscius	Dirección General Planificación y Seguimiento	DGPSE	F
Sra	Maria Micaela Pardo	Dirección General Planificación y Seguimiento de Gestión	DGPSG	F
Sra	Carolina Theler	Dirección General Política y Estrategia Ambiental	DGPOLEA	F
Sra	Soledad Maria Simone	Dirección General Políticas Alimentarias	DGPOLA	F
Sr	Mauricio Nicolas Damiano	Dirección General Políticas Asistenciales para Personas Mayores	DGPAPM	M
Sr	Tomas Mestre Olmedo	Dirección General Políticas de Juventud	DGPJ	M
Lic	Patricia Valentina Fagundez	Dirección General Políticas Energéticas	DGPEN	F
Sra	Jesica Vanesa Suarez	Dirección General Políticas Sociales en Adicciones	DGPSA	F
Sr	Pablo Tomino	Dirección General Prensa	DGPRE	M
Sr	Pablo Ariel Cejas	Dirección General Prevención del Delito y Experiencia Ciudadana de Seguridad	DGPDECS	M
Sr	Ivan Vizental	Dirección General Promoción de Inversiones	DGPINV	M
Sra	Daniela Kalinscky	Dirección General Promoción de Políticas Gastronómicas	DGPPG	F
Sra	Carla Artunduaga	Dirección General Promoción del Libro Bibliotecas y la Cultura	DGPLBC	F
Sr	Mariano Bonifacio	Dirección General Promoción Para el Desarrollo Sostenible	DGPRDS	M
Dra	Paula Lorena Zingoni	Dirección General Promoción Social y Bienestar	DGPSB	F
Sr	Jose Fernando Cohen	Dirección General Protección del Trabajo	DGPDT	M
Sr	Ricardo Fernandez Rojas	Dirección General Proyectos de Arquitectura	DGPAR	M
Sr	Mario Zalazar	Dirección General Proyectos y Tecnología Educativa	DGPTE	M
Sr	Francisco Sanchez Moreno	Dirección General Reciclado y Economía Circular	DGRYEC	M
Sra	Mercedes Maria Di Loreto	Dirección General Recursos Físicos en Salud	DGRFISS	F
Sr	Jose Villamil	Dirección General Redeterminación de Precios	DGRP	M
Lic	Javier Ignacio Tejerizo	Dirección General Reforma Política y Electoral	DGRPOLYE	M
Sra	Cecilia Segal	Dirección General Regeneración Urbana	DGRU	F
Sr	Alejo Daniel Ciliberto	Dirección General Registro de Obras y Catastro	DGROC	M
Sr	Facundo Bargallo Benegas	Dirección General Registro del Estado Civil y Capacidad de las Personas	DGRC	M
Sr	JUAN TOMAS MORGANTI	Dirección General Relaciones con el Sector Privado	DGRSP	M
Sra	CLAUDIA LORENA PERNIA	Dirección General Relaciones con el Tercer Sector y Organismos Públicos	DGRTSOP	F
Sr	Luciano Joaquin Wortley	Dirección General Relaciones con la Comunidad	DGRCOM	M
Sr	Eloy Manuel Aguirre Rebora	Dirección General Relaciones Fiscales	DGRFIS	M
Dr	Hector Daniel Montes De Oca	Dirección General Relaciones Institucionales	DGRINSTI	M
Sra	Carolina Cuenca	Dirección General Relaciones Internacionales y Cooperación	DGRIC	F
Sr	Jorge Andres Rey	Dirección General Relaciones Laborales	DGRELLAB	M
Sr	GUSTAVO ADRIAN BOSO	Dirección General Relocalización y Gestión Integral de Edificios de Gobierno	DGRYGIEG	M
Cdor	Demian Eliel Tujsnaider	Dirección General Rentas	DGR	M
Sr	Alejandro Perez	Dirección General Representaciones de la Ciudad	DGRCIU	M
Sr	Javier Jose Vazquez	Dirección General Restauración Ecológica y Recomposición Ambiental	DGRERA	M
Lic	Pablo Francisco Guillemi	Dirección General Salud Comunitaria	DGSCOM	M
Sr	Horacio Pedro Rodriguez O Connor	Dirección General Salud Mental	DGSAM	M
Sra	Sol Diaz Ortiz	Dirección General Seguim. de Organismos de Control y Acceso a la Información	DGSOCAI	F
Sr	EZEQUIEL MONTANA	Dirección General Seguridad Comunal e Investigación Criminal	DGSCIC	M
Sr	Gustavo Linares	Dirección General Seguridad Informática	DGSEI	M
Sra	Georgina Marinucci	Dirección General Seguridad Prevención y Asistencia al Turista	DGSPAT	F
Sr	Ignacio Antonio Cocca	Dirección General Seguridad Privada y Custodia de Bienes	DGSPCB	M
Sr	Nicolas Garciasaenz	Dirección General Servicios a Escuelas	DGSE	M
Sra	Lucia Sundblad	Dirección General Servicios Desconcentrados	DGSED	F
Dr	Alberto Crescenti	Dirección General Sistema de Atención Médica de Emergencia (SAME)	DGESAME	M
Sra	Carla Vidiri	Dirección General Sistema Pluvial	DGSPLU	F
Sr	Martin Lepera	Dirección General Sistemas de Atención Ciudadana	DGSACIU	M
Sr	Leandro Noer Alassia	Dirección General Sistemas de Información Sanitaria	DGSISAN	M
Sra	Marcela Mesquida	Dirección General Técnica Administrativa y Legal	DGTALSECA	F
Lic	Maria Eugenia Torossian	Dirección General Técnica Administrativa y Legal	DGTALMEPHU	F
Sra	Maria Florencia Lira	Dirección General Técnica Administrativa y Legal	DGTALGOB	F
Dra	Maria Florencia Perez Caminata	Dirección General Técnica Administrativa y Legal	DGTALINF	F
Sra	Maria Marcela Jarvis	Dirección General Técnica Administrativa y Legal	DGTALUPFDT	F
Sra	Mariana Vello	Dirección General Técnica Administrativa y Legal	DGTALMJYS	F
Sr	Hernan Alberto Coego	Dirección General Técnica Administrativa y Legal	DGTALMC	M
Sr	Juan Carlos Rojas	Dirección General Técnica Administrativa y Legal	DGTALMHF	M
Sr	Lautaro Vasser	Dirección General Técnica Administrativa y Legal	DGTALMDEP	M
Sr	Ricardo Christian Pardo	Dirección General Técnica Administrativa y Legal	DGTALAVJG	M
Sr	Eduardo Ziman	Dirección General Técnica y Administrativa	DGTEA	M
Lic	Horacio Salvador Stavale	Dirección General Tesorería	DGTES	M
Sra	Gisella Furiati	Dirección General Tesorería Adjunta	DGTESADJ	F
Sra	Claudia Silvana Testa	Dirección General Trabajo Decente y Relaciones Laborales	DGTDRL	F
Sr	Walter Delochio	Dirección General Unidad Informática de Administración Financiera	DGUIAF	M
Sr	JUAN PABLO CARRIQUE	Dirección General Vinculación Directa	DGVD	M
Sra	Mara Nicole Perez Reynoso	Dirección General Vinculación Pública	DGVIP	F
Sra	Romina Fernanda Corvetto	Dirección General Vinculación y Comunicación	DGVCO	F
Sra	Mariana Di Palma	Dirección General Violencia de Género	DGVG	F
Sr	Luis Maria Cuence	Direciión General Monitoreo y Sistemas	DGMYS	M
Sr	Jorge Telerman	Ente Autarquico Teatro Colón Ley Nº 2.855	EATC	M
Sra	Marcela Claudia Angioi	Ente de Higiene Urbana Ley Nº 462	EHU	F
Dr	Gaston Celerier	Ente de Mantenimiento Urbano Integral (E.M.U.I.) Ley Nº 473	EMUI	M
Sr	Luis Daniel Rojas	F/N Instituto de Trasplante de la C.A.B.A. Ley 3294	EAIT	M
Sra	Carolina Ruggero	F/N U. de Eval. Integral de la Calidad y Equidad Educ. Ley Nº 5049	UEICEE	F
Sr	Emmanuel Lista	F/N Unidad Coordinación del Sistema de Formación Docente	UCSFD	M
Sr	Mauricio Jesus Giraudo	Familiar y Comunitario Subsecretaría Fortalecimiento Personal	SSFPFC	M
Sr	Ezio Osvaldo Emiliozzi	Instituto de Gestión Electoral	IGE	M
Sr	Christian Werle	Instituto de la Vivienda de la Ciudad	IVC	M
Lic	Florencia Griffin Lynch	Instituto Superior de la Carrera	ISC	F
Sr	Felipe Miguel	Jefatura de Gabinete de Ministros	MJGGC	M
Sr	Horacio Rodriguez Larreta	Jefe de Gobierno	AJG	M
Sra	Lucila Seco	Legales y Asuntos Previsionales Dirección General  Concursos	DGCLAP	F
Sr	Martin Garcia Santillan	Lotería de la Ciudad de Buenos Aires S.E. LOTBA Ley N° 5785	LOTBA	M
Sr	Baltazar Jaramillo	LS1 Radio de la Ciudad AM 1110 y FM 2X4	LS1	M
Sr	Enrique Avogadro	Ministerio de Cultura	MCGC	M
Sr	Jose Luis Giusti	Ministerio de Desarrollo Económico y Producción	MDEPGC	M
Sra	Maria Migliore	Ministerio de Desarrollo Humano y Hábitat	MDHYHGC	F
Sra	Soledad Acuna	Ministerio de Educación	MEDGC	F
Sra	Clara Muzzio	Ministerio de Espacio Público e Higiene Urbana	MEPHUGC	F
Sr	Jorge Macri	Ministerio de Gobierno	MGOBGC	M
Sr	Martin Mura	Ministerio de Hacienda y Finanzas	MHFGC	M
Sr	Eugenio Burzaco	Ministerio de Justicia y Seguridad	MJYSGC	M
Sr	Fernan Quiros	Ministerio de Salud	MSGC	M
Sr	Joaquin Moro	Oficina de Integridad Pública	OFIP	M
Sr	Alfonso Antonio Palmou	Oficina de Transparencia y Control Externo de la Policía de la Ciudad	OTCEPCDAD	M
Sra	Maria Gracia Andia	Órgano Garante del Derecho de Acceso a la Información (LEY N° 5784)	OGDAI	F
Sra	Maria Celeste Pena	Pequeñas y Medianas Empresas Dirección General Relaciones Interjurisdiccionales vinculadas al Desarrollo de Micro	DGRIVDMPME	F
Sra	Gabriel Maria Astarloa	Procuración General de la Ciudad de Buenos Aires	PG	F
Sr	Ariel Alberto Juarez	Proyectos y Diseño Urbano Dirección General  Obras	DGOPDU	M
Sr	Adrian De Stefano	Registro y Mediación Dirección General Justicia	DGJRYM	M
Sr	Gustavo Panera	Salidas y Archivo Dirección General Mesa de Entradas	MGEYA	M
Sr	Fernando Diego Straface	SECR General y de Relaciones Internaciones	SGYRI	M
Sra	Julia Raquel Domeniconi	Secretaría Atención Ciudadana y Gestión Comunal	SECACGC	F
Sr	Carlos Pedrini	Secretaría Bienestar Integral	SECBI	M
Sra	Ines Gorbea	Secretaría de Ambiente	SECA	F
Sr	Martín Redrado	Secretaría de Asuntos Estratégicos	SECAE	M
Sr	Federico Di Benedetto	Secretaría de Comunicación Contenidos y Participación Ciudadana	SECCCPC	M
Sr	Carlos Jose Retegui	Secretaria de Deportes	SECD	M
Sr	Sergio Gabriel Costantino	Secretaría de Inclusión Social y Atención Inmediata	SECISYAI	M
Sr	Christian Coelho	Secretaría de Medios	SECM	M
Sra	Elizabeth Caamaño	Secretaría de Seguridad	SECSEG	F
Sr	Alvaro Garcia Resta	Secretaría Desarrollo Urbano	SECDU	M
