Location,year,value
Portugal,2017,0.352
Portugal,2018,0.364
Portugal,2019,0.404
Romania,2003,0.103
Romania,2004,0.105
Romania,2005,0.107
Romania,2006,0.105
Romania,2007,0.094
Romania,2008,0.104
Romania,2009,0.098
Romania,2010,0.098
Romania,2011,0.096
Romania,2012,0.099
Romania,2013,0.117
Romania,2014,0.119
Romania,2015,0.121
Romania,2016,0.1
Romania,2017,0.191
Romania,2018,0.196
Romania,2019,0.198
Slovenia,2003,0.117
Slovenia,2004,0.112
Slovenia,2005,0.117
Slovenia,2006,0.117
Slovenia,2007,0.094
Slovenia,2008,0.1
Slovenia,2009,0.115
Slovenia,2010,0.117
Slovenia,2011,0.123
Slovenia,2012,0.269
Slovenia,2013,0.254
Slovenia,2014,0.287
Slovenia,2015,0.262
Slovenia,2016,0.269
Slovenia,2017,0.269
Slovenia,2018,0.223
Slovenia,2019,0.221
Slovakia,2003,0.187
Slovakia,2004,0.168
Slovakia,2005,0.174
Slovakia,2006,0.208
Slovakia,2007,0.187
Slovakia,2008,0.187
Slovakia,2009,0.2
Slovakia,2010,0.2
Slovakia,2011,0.2
Slovakia,2012,0.187
Slovakia,2013,0.187
Slovakia,2014,0.2
Slovakia,2015,0.2
Slovakia,2016,0.205
Slovakia,2017,0.213
Slovakia,2018,0.207
Slovakia,2019,0.207
Finland,2003,0.372
Finland,2004,0.382
Finland,2005,0.382
Finland,2006,0.382
Finland,2007,0.415
Finland,2008,0.413
Finland,2009,0.4
Finland,2010,0.395
Finland,2011,0.425
Finland,2012,0.425
Finland,2013,0.425
Finland,2014,0.4
Finland,2015,0.415
Finland,2016,0.4
Finland,2017,0.4
Finland,2018,0.415
Finland,2019,0.465
Sweden,2003,0.5
Sweden,2004,0.479
Sweden,2005,0.489
Sweden,2006,0.474
Sweden,2007,0.473
Sweden,2008,0.464
Sweden,2009,0.464
Sweden,2010,0.456
Sweden,2011,0.5
Sweden,2012,0.436
Sweden,2013,0.444
Sweden,2014,0.436
Sweden,2015,0.436
Sweden,2016,0.458
Sweden,2017,0.461
Sweden,2018,0.467
Sweden,2019,0.476
Iceland,2003,0.355
Iceland,2004,0.306
Iceland,2005,0.328
Iceland,2006,0.339
Iceland,2007,0.317
Iceland,2008,0.333
Iceland,2009,0.429
Iceland,2010,0.413
Iceland,2011,0.387
Iceland,2012,0.397
Iceland,2013,0.4
Iceland,2014,0.413
Iceland,2015,0.5
Iceland,2016,0.476
Iceland,2017,0.381
Iceland,2018,0.381
Iceland,2019,0.381
Liechtenstein,2003,0.125
Liechtenstein,2004,0.125
Liechtenstein,2005,0.3
Liechtenstein,2006,0.3
Liechtenstein,2007,0.2
Liechtenstein,2008,0.2
Liechtenstein,2009,0.3
Liechtenstein,2010,0.2
Liechtenstein,2011,0.2
Liechtenstein,2012,0.2
Liechtenstein,2013,0.2
Liechtenstein,2014,0.2
Liechtenstein,2015,0.2
Liechtenstein,2016,0.2
Liechtenstein,2017,0.1
Liechtenstein,2018,0.2
Liechtenstein,2019,0.1
Norway,2003,0.368
Norway,2004,0.4
Norway,2005,0.355
Norway,2006,0.347
Norway,2007,0.349
Norway,2008,0.361
Norway,2009,0.385
Norway,2010,0.391
Norway,2011,0.396
Norway,2012,0.396
Norway,2013,0.385
Norway,2014,0.387
Norway,2015,0.396
Norway,2016,0.396
Norway,2017,0.408
Norway,2018,0.408
Norway,2019,0.408
United Kingdom,2003,0.172
United Kingdom,2004,0.179
United Kingdom,2005,0.191
United Kingdom,2006,0.191
United Kingdom,2007,0.196
United Kingdom,2008,0.196
United Kingdom,2009,0.199
United Kingdom,2010,0.215
United Kingdom,2011,0.2
United Kingdom,2012,0.223
United Kingdom,2013,0.2
United Kingdom,2014,0.237
United Kingdom,2015,0.272
United Kingdom,2016,0.276
United Kingdom,2017,0.287
United Kingdom,2018,0.289
United Kingdom,2019,0.295
Montenegro,2015,0.173
Montenegro,2016,0.235
Montenegro,2017,0.235
Montenegro,2018,0.235
Montenegro,2019,0.296
North Macedonia,2007,0.3
North Macedonia,2008,0.311
North Macedonia,2009,0.325
North Macedonia,2010,0.342
North Macedonia,2011,0.331
North Macedonia,2012,0.317
North Macedonia,2013,0.341
North Macedonia,2014,0.359
North Macedonia,2015,0.341
North Macedonia,2016,0.4
North Macedonia,2017,0.363
North Macedonia,2018,0.383
North Macedonia,2019,0.4
Albania,2018,0.293
Albania,2019,0.303
Serbia,2007,0.208
Serbia,2008,0.224
Serbia,2009,0.224
Serbia,2010,0.224
Serbia,2011,0.244
Serbia,2012,0.324
Serbia,2013,0.341
Serbia,2014,0.336
Serbia,2015,0.336
Serbia,2016,0.3
Serbia,2017,0.364
Serbia,2018,0.376
Serbia,2019,0.376
Turkey,2005,0.044
Turkey,2006,0.026
Turkey,2007,0.091
Turkey,2008,0.091
Turkey,2009,0.1
Turkey,2010,0.089
Turkey,2011,0.144
Turkey,2012,0.144
Turkey,2013,0.144
Turkey,2014,0.144
Turkey,2015,0.149
Turkey,2016,0.147
Turkey,2017,0.1
Turkey,2018,0.174
Turkey,2019,0.173
Bosnia and Herzegovina,2018,0.238
Bosnia and Herzegovina,2019,0.211
Kosovo,2018,0.319
Kosovo,2019,0.325
