categoria	subcategoria	cant
"FISCALIZACIÓN ACTIVIDADES COMERCIALES"	"DEFENSA AL CONSUMIDOR"	1234
"PLUVIALES"	"ALCANTARILLAS / SUMIDEROS"	1201
"LIMPIEZA Y RECOLECCIÓN"	"INCONVENIENTES CON EMPRESAS DE RECOLECCIÓN"	1134
"CONTROL EDILICIO, OBRAS Y CATASTRO"	"EDIFICIOS"	1081
"MEDIOS DE TRANSPORTE"	"BICICLETAS"	1052
"CALLES Y VEREDAS"	"REPARACIÓN DE BACHES"	1049
"BARRIOS EMERGENTES"	"SERVICIO DE ELECTRICIDAD"	1041
"CALLES Y VEREDAS"	"OTROS"	1029
"RECICLADO Y PROTECCIÓN AMBIENTAL"	"RECUPERADOR URBANO Y CAMIONES DE RECICLADO"	1012
"BARRIOS EMERGENTES"	"DESOBSTRUCCIÓN"	903
"TRÁNSITO"	"SEMÁFOROS"	899
"SALUD Y SERVICIOS SOCIALES"	"ENFERMEDADES TRANSMITIDAS POR MOSQUITOS"	861
"ARBOLADO Y ESPACIOS VERDES"	"PLAGAS / ENFERMEDADES EN ÁRBOL"	736
"TRÁMITES Y SERVICIOS"	"INCONVENIENTES EN HOSPITAL PÚBLICO"	701
"ORDENAMIENTO DEL ESPACIO PÚBLICO"	"POSTE DE CABLEADO CON RIESGO DE CAÍDA"	616
"RECICLADO Y PROTECCIÓN AMBIENTAL"		569
"ARBOLADO Y ESPACIOS VERDES"	"PARQUES Y PLAZAS"	566
"CALLES Y VEREDAS"	"Tapas"	492
"FISCALIZACIÓN ACTIVIDADES COMERCIALES"	"OTROS"	478
"CALLES Y VEREDAS"	"RAMPAS DE ACCESIBILIDAD"	452
"ALUMBRADO"	"REPARACIÓN DE EQUIPAMIENTO DE ALUMBRADO"	435
"RECICLADO Y PROTECCIÓN AMBIENTAL"	"CONTROL AMBIENTAL"	352
"FISCALIZACIÓN ACTIVIDADES COMERCIALES"	"CONDICIONES DE SEGURIDAD"	341
"PLUVIALES"	"INUNDACIÓN"	259
"ALUMBRADO"	"LIMPIEZA DE EQUIPAMIENTO DE ALUMBRADO"	226
		213
"SEGURIDAD"	"PROBLEMAS CON PERSONAL POLICIAL"	211
"TRÁMITES Y SERVICIOS"	"INCONVENIENTES EN CENTRO DE SALUD NIVEL 1"	193
"TERRENO BALDÍO"	"HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA"	190
"ORDENAMIENTO DEL ESPACIO PÚBLICO"		177
"CONTROL EDILICIO, OBRAS Y CATASTRO"	"OBRAS EN VEREDA"	173
"ORDENAMIENTO DEL ESPACIO PÚBLICO"	"PUBLICIDAD EN VÍA PÚBLICA"	171
"CONTROL EDILICIO, OBRAS Y CATASTRO"	"ASCENSORES"	166
"FISCALIZACIÓN ACTIVIDADES COMERCIALES"	"IMPACTO AMBIENTAL"	148
"ORDENAMIENTO DEL ESPACIO PÚBLICO"	"PUESTOS DE DIARIOS O FLORES"	83
"LOTBA"	"AGENCIAS DE LOTERÍA"	80
"MEDIOS DE TRANSPORTE"	"OTROS"	80
"CONTROL EDILICIO, OBRAS Y CATASTRO"	"INCONVENIENTES CON OBRAS REALIZADAS POR EL GOBIERNO DE LA CIUDAD DE BUENOS AIRES"	78
"FISCALIZACIÓN ACTIVIDADES COMERCIALES"	"FERIAS"	64
"CALLES Y VEREDAS"	"Nivelación"	62
"CALLES Y VEREDAS"	"MOBILIARIO URBANO"	61
"RECICLADO Y PROTECCIÓN AMBIENTAL"	"ADMINISTRATIVA Y LEGAL"	56
"TRÁMITES Y SERVICIOS"	"ACCESO A LA INFORMACIÓN PÚBLICA"	54
"MEDIOS DE TRANSPORTE"	"COLECTIVOS"	50
"FISCALIZACIÓN ACTIVIDADES COMERCIALES"		48
"SALUD Y SERVICIOS SOCIALES"	"VIOLACIÓN DE CUARENTENA POR CORONAVIRUS"	43
"CALLES Y VEREDAS"		13
"EDUCACION"	"Mantenimiento establecimientos educativos"	11
"CALLES Y VEREDAS"	"Cartel indicador de calles"	4
"TRÁMITES Y SERVICIOS"		3
