mfr	type	calories	protein	fat	sodium	fiber	carbo	sugars	potass	vitamins	shelf	weight	cups	Selected	name	mds-x	mds-y
Q	C	100.0	4.0	2.0	150.0	2.0	12.0	6.0	95.0	25.0	2.0	1.0	0.67	No	Life	11.392604383591923	3.959151055626721
G	C	110.0	2.0	1.0	180.0	0.0	12.0	12.0	55.0	25.0	2.0	1.0	1.0	No	Lucky Charms	-23.621513376951306	38.83993505800037
A	H	100.0	4.0	1.0	0.0	0.0	16.0	3.0	95.0	25.0	2.0	1.0	1.0	No	Maypo	158.98944944532644	16.55660104767582
R	C	150.0	4.0	3.0	95.0	3.0	16.0	11.0	170.0	25.0	3.0	1.0	1.0	No	Muesli Raisins; Dates; & Almonds	73.55932903349255	-74.17929559182623
R	C	150.0	4.0	3.0	150.0	3.0	16.0	11.0	170.0	25.0	3.0	1.0	1.0	No	Muesli Raisins; Peaches; & Pecans	18.625277672231675	-79.72743951838922
K	C	160.0	3.0	2.0	150.0	3.0	17.0	13.0	160.0	25.0	3.0	1.5	0.67	No	Mueslix Crispy Blend	17.984872280761113	-74.10637685156387
G	C	100.0	2.0	1.0	220.0	2.0	15.0	6.0	90.0	25.0	1.0	1.0	1.0	No	Multi-Grain Cheerios	-61.35004807231299	2.8723724416093477
K	C	120.0	2.0	1.0	190.0	0.0	15.0	9.0	40.0	25.0	2.0	1.0	0.67	No	Nut&Honey Crunch	-36.3365019581823	52.43308952768189
K	C	140.0	3.0	2.0	220.0	3.0	21.0	7.0	130.0	25.0	3.0	1.33	0.67	No	Nutri-Grain Almond-Raisin	-62.875840299647216	-44.80246200629629
K	C	90.0	3.0	0.0	170.0	3.0	18.0	2.0	90.0	25.0	3.0	1.0	1.0	No	Nutri-grain Wheat	-7.889242140783425	7.159597338336237
G	C	130.0	3.0	2.0	170.0	1.5	13.5	10.0	120.0	25.0	3.0	1.25	0.5	No	Oatmeal Raisin Crisp	-6.158275887836561	-25.71318526372937
P	C	120.0	3.0	1.0	200.0	6.0	11.0	14.0	260.0	25.0	3.0	1.33	0.67	No	Post Nat. Raisin Bran	-24.591389073290717	-168.99823805830965
K	C	100.0	3.0	0.0	320.0	1.0	20.0	3.0	45.0	100.0	3.0	1.0	1.0	No	Product 19	-183.74297465713357	31.532091952000115
Q	C	50.0	1.0	0.0	0.0	0.0	13.0	0.0	15.0	0.0	3.0	0.5	1.0	No	Puffed Rice	161.27374730264606	104.09147785497512
Q	C	50.0	2.0	0.0	0.0	1.0	10.0	0.0	50.0	0.0	3.0	0.5	1.0	No	Puffed Wheat	165.54927879563002	71.20246333268257
Q	C	100.0	4.0	1.0	135.0	2.0	14.0	6.0	110.0	25.0	3.0	1.0	0.5	No	Quaker Oat Squares	27.882449855117628	-9.3339626346888
Q	H	100.0	5.0	2.0	0.0	2.7	-1.0	-1.0	110.0	0.0	1.0	1.0	0.67	No	Quaker Oatmeal	164.61667867911189	-2.3421987780489344
K	C	120.0	3.0	1.0	210.0	5.0	14.0	12.0	240.0	25.0	2.0	1.33	0.75	No	Raisin Bran	-41.500256472451284	-148.02949175835533
G	C	100.0	3.0	2.0	140.0	2.5	10.5	8.0	140.0	25.0	3.0	1.0	0.5	No	Raisin Nut Bran	26.761197943354688	-39.280340288356555
K	C	90.0	2.0	0.0	0.0	2.0	15.0	6.0	110.0	25.0	3.0	1.0	0.5	No	Raisin Squares	161.5489549293541	3.761466285474815
R	C	110.0	1.0	0.0	240.0	0.0	23.0	2.0	30.0	25.0	1.0	1.0	1.13	No	Rice Chex	-87.8792294254532	58.20429138613506
K	C	110.0	2.0	0.0	290.0	0.0	22.0	3.0	35.0	25.0	1.0	1.0	1.0	No	Rice Krispies	-135.96423536570825	49.80137825162506
N	C	80.0	2.0	0.0	0.0	3.0	16.0	0.0	95.0	0.0	1.0	0.83	1.0	No	Shredded Wheat	164.953359280295	21.688515906956642
N	C	90.0	3.0	0.0	0.0	4.0	19.0	0.0	140.0	0.0	1.0	1.0	0.67	No	Shredded Wheat 'n'Bran	167.73757853140455	-28.978327769420588
N	C	90.0	3.0	0.0	0.0	3.0	20.0	0.0	120.0	0.0	1.0	1.0	0.67	No	Shredded Wheat spoon size	165.6955667121017	-10.631571501014674
K	C	110.0	2.0	1.0	70.0	1.0	9.0	15.0	40.0	25.0	2.0	1.0	0.75	No	Smacks	84.17978873220703	63.96131298763731
K	C	110.0	6.0	0.0	230.0	1.0	16.0	3.0	55.0	25.0	1.0	1.0	1.0	No	Special K	-74.71895395844918	34.3824979605208
N	C	90.0	2.0	0.0	15.0	3.0	15.0	5.0	90.0	25.0	2.0	1.0	1.0	No	Strawberry Fruit Wheats	144.38953606604787	21.3197301498785
G	C	110.0	2.0	1.0	200.0	0.0	21.0	3.0	35.0	100.0	3.0	1.0	1.0	No	Total Corn Flakes	-55.62200055691555	91.7291014598159
G	C	140.0	3.0	1.0	190.0	4.0	15.0	14.0	230.0	100.0	3.0	1.5	1.0	No	Total Raisin Bran	-26.28856844303183	-153.86532732563552
G	C	100.0	3.0	1.0	200.0	3.0	16.0	3.0	110.0	100.0	3.0	1.0	1.0	No	Total Whole Grain	-59.63294047411584	-40.22530699035508
G	C	110.0	2.0	1.0	250.0	0.0	21.0	3.0	60.0	25.0	3.0	1.0	0.75	No	Triples	-94.23717092656307	28.440158980939717
G	C	110.0	1.0	1.0	140.0	0.0	13.0	12.0	25.0	25.0	2.0	1.0	1.0	No	Trix	14.952273146029563	72.04915753099276
R	C	100.0	3.0	1.0	230.0	3.0	17.0	3.0	115.0	25.0	1.0	1.0	0.67	No	Wheat Chex	-70.9712710466044	-22.406995933520722
G	C	100.0	3.0	1.0	200.0	3.0	17.0	3.0	110.0	25.0	1.0	1.0	1.0	No	Wheaties	-38.6047712463626	-14.795314341679532
G	C	110.0	2.0	1.0	200.0	1.0	16.0	8.0	60.0	25.0	1.0	1.0	0.75	No	Wheaties Honey Gold	-43.53592613181571	32.37678862500667
