Marca temporal	Identidad de Género	Edad	Máximo nivel de formación	¿Qué carrera de grado estudiaste?	¿En qué tipo de universidad estudiaste tu carrera de grado?	País en el que trabajas	Provincia donde trabajas	Trabajo	Rubro de la empresa	¿Cuántos empleados tiene la empresa?	Origen del capital	¿Cuántas personas integran el área de RRHH?	¿En qué puesto trabajás?	Tipo de contratación	¿Cómo es tu jornada laboral?	¿Cuál es tu función principal en RRHH?	¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?)	¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año)	¿Hace cuántos años estás en tu puesto actual? (0 para menos de un año)	¿Cuántos años de experiencia tenés en RRHH?	¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones)	¿Qué beneficios tenés?	¿Recibís bonos?	¿Tuviste ajustes por inflación en 2021?	¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2021?	Mes del último ajuste	¿Trabajás en proyectos independientes además de tu empleo?	¿Qué sistema de gestión de RRHH usan en tu empresa?	¿Cómo se llama el área en tu empresa?	¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?	¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?	¿Qué tan satisfecho estás con tu empresa?	¿Estás buscando trabajo?	¿Qué beneficios te gustaría tener?	¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?	Definí a RRHH con una sola palabra	¿Te identificás como LGBTIQ+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?	En tu empresa puedes ser como realmente eres (por ej.: expresar abiertamente tu personalidad, tu identidad de género, orientación sexual, etc.).	¿Qué porcentaje aproximado del management de tu empresa son mujeres? (Entiéndase posiciones de Jefatura, de Gerencia, o de Dirección)	Es importante incorporar el lenguaje inclusivo en la organización.	¿Tenés alguna discapacidad?	¿En tu organización existe una línea segura o políticas definidas para actuar frente a situaciones de acoso o discriminación?	¿Sufriste alguna situación de acoso, abuso o de discriminación en algún trabajo?	¿Estás trabajando desde tu casa?	¿Cómo están planeando el regreso a las oficinas?	¿En qué mes está planificado el retorno de la mayoría de los empleados?	¿Cómo fue la decisión del esquema de teletrabajo a realizar?	Cantidad de días que se aplicará teletrabajo	Las nuevas contrataciones, ¿bajo qué modalidad ingresaron?	¿Qué tan satisfecho estás con la decisión de retornar a la oficina?	¿Cómo valorarías la gestión de tu empresa durante la pandemia del COVID?	¿Cómo estás registrado/a fiscalmente?	¿Hace cuántos años trabajás como freelance?	¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19)	¿Exportás tus servicios?	Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?	¿Aceptás pagos en cuotas?	¿Trabajás con otros freelancers de tu mismo rubro?	¿Tu servicio principal está relacionado con búsqueda y selección?	¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?	¿Trabajás a riesgo?	¿Cuál es el coeficiente que cobrás por tus servicios?	El coeficiente lo calculás sobre:	¿Ofrecés garantía?	¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere)	¿Cuál es el valor hora promedio que ofrecés? (moneda local)
22/10/2021 11:19:01	Hombre cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Buenos Aires	Freelance																																												Contractor	0	Casa	Si	Payoneer	No	Si	Si	Si	No	0	Remuneración mensual del ingresante	No ofrezco garantía		
22/10/2021 11:24:33	Mujer cis	36 - 40	Terciario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Córdoba	Relación de Dependencia	Servicios de correos y de telecomunicaciones	251 - 500	Nacional	4	Analista	Indeterminado	Full time	Payroll / Liquidación de sueldos	0	11	11	16	113000	Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular	No recibo bono	2 ajustes	25	Noviembre	No	Bejerman	Adm. De personal	No		5	No estoy buscando cambiar																																	
22/10/2021 11:26:07	Mujer cis	31 - 35	Terciario completo	No estudié en la Universidad	No estudié en la Universidad	Argentina	Buenos Aires	Relación de Dependencia	Industria metalúrgica, metalmecánica	51 - 100	Nacional	2	Responsable	Indeterminado	Full time	Generalista	1	4	4	6	95000	Horarios flexibles, Combustible, Préstamos	Un sueldo	3 o más ajustes	50	Octubre	No	No tenemos sistema de gestión	Recursos Humanos	No	0%	4	No,  pero escucho ofertas	Home office, almuerzo saludable, cursos de idiomas			Si	De acuerdo	0%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	No	No	No	Presencial 100%	Ya volvimos 100%	No aplica	No aplica	Presencial	No aplica / Prefiero no responder	4															
22/10/2021 11:27:10	Mujer cis	36 - 40	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Córdoba	Relación de Dependencia	Industria metalúrgica, metalmecánica	101 - 250	Nacional	3	Analista	Indeterminado	Full time	Administración de personal	0	4	4	10	94557	Medicina prepaga / Plan de salud, Comedor / Almuerzos	Menos de un sueldo	1 solo	35	Mayo	Si, en emprendimiento no relacionado con RRHH	Tango	Recursos Humanos	No	0%	2	Sí, activamente	horarios flexibles, home office, pago de internet, vacaciones extendidas, licencia por maternidad extendida, bono para supermercado	proyecto de familia	zona de impacto	No	Ni de acuerdo ni en desacuerdo	10%	De acuerdo	No tengo ninguna discapacidad	No	No	No	Presencial 100%	Ya volvimos 100%	De la empresa	No aplica	Presencial	Muy instatisfecho	3															
22/10/2021 11:38:09	Hombre cis	25 - 30	Diplomado de posgrado completo	Psicología	Universidad Pública	Argentina	Córdoba	Relación de Dependencia	Tecnologías de información	51 - 100	Nacional	3	Gerente	Indeterminado	Full time	Generalista	3	2	2	6	200000	Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas	No recibo bono	3 o más ajustes	55	Julio	Si, en emprendimiento relacionado con RRHH	Enlatado propio	Recursos Humanos	No	10%	5	No estoy buscando cambiar	Maestrias pagas			Si	De acuerdo	40%	Ni de acuerdo ni en desacuerdo	No tengo ninguna discapacidad	Si	No	Voy rotando entre la oficina y el teletrabajo	Remoto 100%	No aplica	De común acuerdo	A elección de cada empleado	Teletrabajo	No aplica / Prefiero no responder	5															
22/10/2021 11:38:29	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Córdoba	Relación de Dependencia	Textiles, vestido, cuero, calzado	101 - 250	Nacional	3	Analista	Indeterminado	Full time	Administración de personal	0	0	0	3	85000	Medicina prepaga / Plan de salud, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Seguro de vida (adicionales a los de ley)	No recibo bono	No tuve ajustes	0		Si, en emprendimiento relacionado con RRHH	propio	Recursos Humanos	No	0%	5	No estoy buscando cambiar	home office	Si tengo planeado tener hijos	NEXO																														
22/10/2021 11:42:12	Hombre cis	25 - 30	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Chubut	Relación de Dependencia	Petróleo y producción de gas, refinación de petróleo	10.001 o más	Nacional	220	Analista	Indeterminado	Full time	Administración de personal	0	4	1	4	145000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Abono de celular, Combustible, Comedor / Almuerzos, Frutas y snacks, Home office, Idiomas, Préstamos, Seguro de vida (adicionales a los de ley)	Dos sueldos	1 solo	10	Abril	No	SAP / SuccessFactors	Personas y Cultura	Si	0%	4	No,  pero escucho ofertas			Negocio	No	Totalmente de acuerdo	40%	De acuerdo	No tengo ninguna discapacidad	Si	No	Voy rotando entre la oficina y el teletrabajo	Mixto	Noviembre 2021	De la empresa	3 días	Mixta	Muy satisfecho	5															
22/10/2021 11:16:42	Mujer cis	25 - 30	Universitario completo	Economía	Universidad Privada	Ecuador		Relación de Dependencia	Bancos, banca online	1.001 - 2.500	Multinacional	15	Analista	Indefinido, no sé si sea lo mismo a indeterminado	Full time	People analytics	0	0	0	3	1600	Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Seguro de vida (adicionales a los de ley), Capacitaciones y certificaciones	No recibo bono	No tuve ajustes	0		Si, en proyectos ad honorem	No tenemos sistema de gestión	Recursos Humanos	Si	50%	5	No estoy buscando cambiar	Seguro de salud privado, días libres por cumpleaños o tiempo libre como viernes de verano, descuentos comerciales	Si me gusta el chisme	Integración	No	En desacuerdo	40%	Ni de acuerdo ni en desacuerdo	Auditiva	No	No	Voy rotando entre la oficina y el teletrabajo	Mixto	No aplica	De la empresa	A elección de cada empleado	Mixta	Algo satisfecho	3															
22/10/2021 11:44:00	Mujer cis	31 - 35	Diplomado de posgrado completo	Psicología	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Tecnologías de información	2.501 - 5.000	Multinacional	10	Supervisor	Indeterminado	Full time	Administración de personal	6	7	3	10	120000	Medicina prepaga / Plan de salud, Abono de internet, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Idiomas, Seguro de vida (adicionales a los de ley), Reintegro en electricidad	Un sueldo	2 ajustes	17	Octubre	Si, en proyectos ad honorem	Oracle HCM	Talento Humano	Si	100%	3	Sí, activamente	Remoto 100% 	Al entrar al puesto actual, el cliente me preguntó sobre mi color de piel	Talento	Si	Totalmente de acuerdo	30%	Totalmente de acuerdo	No tengo ninguna discapacidad	Si	No	Si	Mixto	Diciembre 2021	De la empresa	2 días	Teletrabajo	Muy instatisfecho	4															
22/10/2021 11:53:56	Hombre cis	36 - 40	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Medios de comunicación, cultura, gráficos	501 - 1.000	Nacional	6	Responsable	Indeterminado	Full time	Payroll / Liquidación de sueldos	0	6	6	11	165343	Medicina prepaga / Plan de salud, Horarios flexibles, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Posgrados, Seguro de vida (adicionales a los de ley)	Menos de un sueldo	3 o más ajustes	54.06	Octubre	Si, en emprendimiento no relacionado con RRHH	Nucleus	Capital Humano	No	0%	3	Sí, activamente	Salario en dolares / crypto	No recuerdo	Gestion	No	Totalmente de acuerdo	60%	Totalmente en desacuerdo	No tengo ninguna discapacidad	Si	No	Voy rotando entre la oficina y el teletrabajo	Mixto	No aplica	De la empresa	3 días	Mixta	Algo satisfecho	4															
22/10/2021 11:55:40	Hombre cis	25 - 30	Universitario en curso	Comunicación	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Servicios de consultoría	10.001 o más	Multinacional	200	HRBP	Indeterminado	Full time	Generalista	0	7	1	5	130000	Medicina prepaga / Plan de salud, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Gimnasio, Idiomas, Seguro de vida (adicionales a los de ley), Reintegro en electricidad	Un sueldo	2 ajustes	30	Octubre	No	workday	Recursos Humanos	Si	30%	3	No,  pero escucho ofertas	más percepción salarial		integral	Si	Totalmente de acuerdo	50%	De acuerdo	No tengo ninguna discapacidad	Si	No	Si	En evaluación	Marzo 2022 en adelante	De la empresa	No aplica	Teletrabajo	Algo insatisfecho	3															
22/10/2021 12:04:35	Prefiero no responder	36 - 40	Diplomado de posgrado completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Otros	101 - 250	Nacional	1	Responsable	Indeterminado	Full time	Generalista	0	3	3	10	120000	Medicina prepaga / Plan de salud, Tarjeta de descuento	No recibo bono	No tuve ajustes	35	Septiembre	Si, en proyectos ad honorem	No tenemos sistema de gestión																																						
22/10/2021 12:11:54	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Córdoba	Relación de Dependencia	Tecnologías de información	1 - 50	Multinacional	1	Gerente	Plazo Fijo	Full time	Generalista	0	3	3	6	160000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas	No recibo bono	2 ajustes	40	Julio	No	No tenemos sistema de gestión	Recursos Humanos	No	20%	3	No,  pero escucho ofertas	Trabajo por objetivos, flexibilidad laboral horaria real.	Me han preguntado si el café era molido o instantáneo 	link	No	De acuerdo	10%	Totalmente de acuerdo	No tengo ninguna discapacidad	No	Si	Voy rotando entre la oficina y el teletrabajo	Mixto	Ya volvimos 100%	De común acuerdo	3 días	Teletrabajo	Muy satisfecho	4															
22/10/2021 12:16:37	Hombre cis	18 - 25	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Industrias químicas	10.001 o más	Multinacional	20	Analista	Indeterminado	Full time	Payroll / Liquidación de sueldos	0	1	1	3	113000	Medicina prepaga / Plan de salud, Vacaciones extendidas, Home office, Reintegro en electricidad	No recibo bono	1 solo	45	Septiembre	No	Oracle HCM	HR Ops	Si	40%	2	No,  pero escucho ofertas	Almuerzo y bono																																
22/10/2021 12:19:39	Mujer cis	25 - 30	Diplomado de posgrado completo	Psicología	Universidad Pública	Argentina	Córdoba	Relación de Dependencia	Tecnologías de información	501 - 1.000	Multinacional	10	Analista	Plazo Fijo	Full time	Reclutamiento y selección	0	1	1	2	85000	Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Posgrados, Reintegro en electricidad, Reintegros en capacitación	Menos de un sueldo	1 solo	20	Abril	No	Bamboo HR	Recursos Humanos	Si	80%	5	No estoy buscando cambiar	Bono en dolares 		Empatía																														
22/10/2021 12:28:01	Mujer cis	41 - 45	Universitario completo	RRHH / RRLL / RRTT	Universidad Pública	Argentina	Buenos Aires	Relación de Dependencia	Servicios profesionales	10.001 o más	Multinacional	400	Analista	Indeterminado	Full time	Reclutamiento y selección	0	0	10	15	150000	Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Charter / Servicio de transporte, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas	No recibo bono	2 ajustes	25	Octubre	No	Enlatado propio																																						
22/10/2021 12:53:17	Mujer cis	31 - 35	Universitario completo	RRHH / RRLL / RRTT	Universidad Privada	Argentina	Córdoba	Relación de Dependencia	Tecnologías de información	10.001 o más	Multinacional	150	HRBP	Indeterminado	Full time	Administración de personal	150	0	0	5	125000	Medicina prepaga / Plan de salud, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office, Idiomas, Seguro de vida (adicionales a los de ley), Reintegro en electricidad	Un sueldo	1 solo	10	Octubre	Si, en emprendimiento relacionado con RRHH	Workday	Talento Humano	Si	90%	4	No estoy buscando cambiar	Vacaciones extendidas, elección de prepaga	Cuáles son tus planes a cinco años (demasiado antigua), si fueras un animal cuál serías o una planta	Equipo	No	Totalmente de acuerdo	60%	Totalmente de acuerdo	No tengo ninguna discapacidad	Si	Si	Si	En evaluación	No esta definido	De común acuerdo	A elección de cada empleado	Teletrabajo	No aplica / Prefiero no responder	5															
22/10/2021 14:01:28	Mujer cis	31 - 35	Universitario completo	Ingeniería Industrial	Universidad Pública	Argentina	Ciudad Autónoma de Buenos Aires	Relación de Dependencia	Comercio	1.001 - 2.500	Nacional	28	HRBP	Indeterminado	Full time	Capacitación y desarrollo	0	3	1	1	160000	Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Licencias extendidas, Equipamiento ergonómico de teletrabajo, Home office, Reintegros en capacitación	Menos de un sueldo	1 solo	20	Junio	No	Meta4	Talento	No	10%	4	No,  pero escucho ofertas	Descuentos en viajes, compra de celulares y  wifi bonificado	No me acuerdo	Lejano	No	De acuerdo	20%	De acuerdo	No tengo ninguna discapacidad	Si	Si	Si	Mixto	Noviembre 2021	De común acuerdo	A elección de cada empleado	Mixta	Algo insatisfecho	3															
