Conference	Year	Paper Title	Paper DOI	Link	First page	Last page	Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)	Abstract	Author Names	Author Affiliation	References	Author Keywords	Experimental: OCRd Author Affiliations
Vis	1990	Wide-band relativistic Doppler effect visualization	10.1109/VISUAL.1990.146368	http://dx.doi.org/10.1109/VISUAL.1990.146368	83	92, 465-7	C		Ping-Kang Hsiung;Robert H. Thibadeau;Christopher B. Cox;Robert H. P. Dunn;Michael Wu;Paul Andrew Olbrich	Carnegie Mellon Univ., Pittsburgh, PA, USA|c|;;;;;			Carnegie Mellon University Pittsburgh##lon University
Vis	1990	Dynamic graphics for network visualization	10.1109/VISUAL.1990.146369	http://dx.doi.org/10.1109/VISUAL.1990.146369	93	96, 467	C		Richard A. Becker;Stephen G. Eick;Eileen O. Miller;Allan R. Wilks	AT&T Bell Lab., Murray Hill, NJ, USA|c|;;;			AT&T Bell Laboratories Murray Hill##AT&T Bell Laboratories Murray Hill##AT&T Bell Laboratories Murray Hill##AT&T Bell Laboratories Murray Hill
Vis	1990	Techniques for visualizing Fermat's last theorem: a case study	10.1109/VISUAL.1990.146370	http://dx.doi.org/10.1109/VISUAL.1990.146370	97	106, 467-8	C		Andrew J. Hanson;Pheng-Ann Heng;B. C. Kaplan	Indiana Univ., Bloomington, IN, USA|c|;;			Applications Indiana University##Applications Indiana University##Applications Indiana University
Vis	1990	Visualizing computer memory architectures	10.1109/VISUAL.1990.146371	http://dx.doi.org/10.1109/VISUAL.1990.146371	107	113	C		Bowen Alpern;Larry Carter;Ted Selker	IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA|c|;;			IBM Thomas J. Watson Research Center##IBM Thomas J. Watson Research Center##IBM Thomas J. Watson Research Center
Vis	1990	A methodology for scientific data visualisation: choosing representations based on a natural scene paradigm	10.1109/VISUAL.1990.146372	http://dx.doi.org/10.1109/VISUAL.1990.146372	114	123	C		Philip K. Robertson	CSIRO, Canberra, ACT, Australia|c|			CSIRO, Canberra, ACT, Australia|c|
Vis	1990	Moving iconic objects in scientific visualization	10.1109/VISUAL.1990.146373	http://dx.doi.org/10.1109/VISUAL.1990.146373	124	130, 468	C		G. David Kerlick	Tektronix Labs., Beaverton, OR, USA|c|			Tektronix Labs., Beaverton, OR, USA|c|
Vis	1990	Classifying visual knowledge representations: a foundation for visualization research	10.1109/VISUAL.1990.146374	http://dx.doi.org/10.1109/VISUAL.1990.146374	131	138	C		Gerald L. Lohse;Henry H. Rueter;Kevin Biolsi;Neff Walker	Cognitive Sci. & Machine Intelligence Lab., Michigan Univ., Ann Arbor, MI, USA|c|;;;			Cognitive Sci. & Machine Intelligence Lab., Michigan Univ., Ann Arbor, MI, USA|c|;;;
Vis	1990	A problem-oriented classification of visualization techniques	10.1109/VISUAL.1990.146375	http://dx.doi.org/10.1109/VISUAL.1990.146375	139	143, 469	C		Stephen Wehrend;Clayton Lewis	Colorado Univ., Boulder, CO, USA|c|;			University of Colorado##University of Colorado
Vis	1990	Visualization and three-dimensional image processing of positron emission tomography (PET) brain images	10.1109/VISUAL.1990.146376	http://dx.doi.org/10.1109/VISUAL.1990.146376	144	149, 469	C		Nahum D. Gershon	MITRE Corp., McLean, VA, USA|c|			The MITRE Corporation
Vis	1990	Applying space subdivision techniques to volume rendering	10.1109/VISUAL.1990.146377	http://dx.doi.org/10.1109/VISUAL.1990.146377	150	159, 470	C		Kalpathi R. Subramanian;Donald S. Fussell	;			The University of Texas at Austin Austin##The University of Texas at Austin Austin##The University of Texas at Austin
Vis	1990	Volume visualization in cell biology	10.1109/VISUAL.1990.146378	http://dx.doi.org/10.1109/VISUAL.1990.146378	160	168, 471-2	C		Arie E. Kaufman;Roni Yagel;Reuven Bakalash;I. Spector	Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA|c|;;;			Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA|c|;;;
Vis	1990	Hierarchical triangulation using terrain features	10.1109/VISUAL.1990.146379	http://dx.doi.org/10.1109/VISUAL.1990.146379	168	175	C		Lori L. Scarlatos;Theodosios Pavlidis	Grumman Data Syst., Woodbury, NY, USA|c|;			Woodbury Rd. Woodbury
Vis	1990	Rendering and managing spherical data with sphere quadtrees	10.1109/VISUAL.1990.146380	http://dx.doi.org/10.1109/VISUAL.1990.146380	176	186	C		Gyorgy Fekete	NASA, Goddard Space Flight Center, Greenbelt, MD|c|			SAR at National SDace Science Data Center NASA/Goddarh Space Flight Center Greenbelt
Vis	1990	Methods for surface interrogation	10.1109/VISUAL.1990.146381	http://dx.doi.org/10.1109/VISUAL.1990.146381	187	193, 472	C		Hans Hagen;Thomas Schreiber;Ernst Gschwind	Kaiserslautern Univ., Germany|c|;;			Universitat Kaiserslautern FB-Informatik##Universitat Kaiserslautern FB-Informatik##Universitat Kaiserslautern FB-Informatik
Vis	1990	A three-dimensional/stereoscopic display and model control system for Great Lakes forecasts	10.1109/VISUAL.1990.146382	http://dx.doi.org/10.1109/VISUAL.1990.146382	194	201, 473-4	C		Chieh-Cheng Yen;Keith W. Bedford;Jill Kempf;Robert E. Marshall	Dept. of Civil Eng., Ohio State Univ., OH, USA|c|;;;			The Ohio State University##The Ohio State University
Vis	1990	Spline-based color sequences for univariate, bivariate and trivariate mapping	10.1109/VISUAL.1990.146383	http://dx.doi.org/10.1109/VISUAL.1990.146383	202	208, 474-5	C		Binh Pham	Dept. of Comput. Sci., Monash Univ., Melbourne, Vic., Australia|c|			Monash University
Vis	1990	Interactive visualization of quaternion Julia sets	10.1109/VISUAL.1990.146384	http://dx.doi.org/10.1109/VISUAL.1990.146384	209	218, 475-6	C		John C. Hart;Louis H. Kauffman;Dan Sandin	Electron. Visualization Lab., Illinois Univ., Chicago, IL, USA|c|;;			Electron. Visualization Lab., Illinois Univ., Chicago, IL, USA|c|;;
Vis	1990	A journey into the fourth dimension	10.1109/VISUAL.1990.146385	http://dx.doi.org/10.1109/VISUAL.1990.146385	219	229, 476-477	C		Yan Ke;E. S. Panduranga	Dept. of Comput. Sci., Saskatchewan Univ., Saskatoon, Sask., Canada|c|;			University of Saskatchewan Saskatoon##Johns Hopkins University Baltimore
Vis	1990	Exploring N-dimensional databases	10.1109/VISUAL.1990.146386	http://dx.doi.org/10.1109/VISUAL.1990.146386	230	237	C		Jeffrey LeBlanc;Matthew O. Ward;Norman Wittels	Worcester Polytech. Inst., MA, USA|c|;;			Worcester Polytech. Inst., MA, USA|c|;;
Vis	1990	Shape coding of multidimensional data on a microcomputer display	10.1109/VISUAL.1990.146387	http://dx.doi.org/10.1109/VISUAL.1990.146387	238	246, 478	C		Jeff Beddow	Microsimulations Res., Minneapolis, MN|c|			Microsimulations Research
Vis	1990	Visualization of irregular multivariate data	10.1109/VISUAL.1990.146388	http://dx.doi.org/10.1109/VISUAL.1990.146388	247	254, 478-9	C		Thomas A. Foley;David A. Lane	Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA|c|;			Arizona State University Tempe##Arizona State University Tempe
Vis	1990	Visualizing a scalar field on an N-dimensional lattice	10.1109/VISUAL.1990.146389	http://dx.doi.org/10.1109/VISUAL.1990.146389	255	262, 479-480	C		Ted Mihalisin;E. Grawlinksi;John Timlin;John Schwegler	Dept. of Phys., Temple Univ., Philadelphia, PA, USA|c|;;;			Temple University##Temple University##Temple University##Temple University
Vis	1990	Ray traced scalar fields with shaded polygonal output	10.1109/VISUAL.1990.146390	http://dx.doi.org/10.1109/VISUAL.1990.146390	263	272, 480-481	C		Ray J. Meyers;Michael B. Stephenson	Sandia Nat. Lab., Albuquerque, NM, USA|c|;			Sandia Nat. Lab., Albuquerque, NM, USA|c|;
Vis	1990	The application of transport theory to visualization of 3D scalar data fields	10.1109/VISUAL.1990.146391	http://dx.doi.org/10.1109/VISUAL.1990.146391	273	280, 481-2	C		Wolfgang Krüger	ART+COM e.V., Berlin, Germany|c|			ART+COM e.V., Berlin, Germany|c|
Vis	1990	Visualization of scalar data defined on a structured grid-applications to petroleum research	10.1109/VISUAL.1990.146392	http://dx.doi.org/10.1109/VISUAL.1990.146392	281	288, 482-3	C		J. L. Pajon;V. Bui Tran	Inst. Francais due Petrole, Rueil Malmaison, France|c|;			Institut Franqais du Pktrole 1##
Vis	1990	A numerical method for rendering spherical reflections	10.1109/VISUAL.1990.146393	http://dx.doi.org/10.1109/VISUAL.1990.146393	289	297, 483-4	C		David P. Dobkin;E. S. Panduranga;M. Zhu	Dept. of Comput. Sci., Princeton Univ., NJ, USA|c|;;			Princeton University Princeton##Princeton University Princeton##Princeton University Princeton
Vis	1990	Superposing images with shadow casting	10.1109/VISUAL.1990.146394	http://dx.doi.org/10.1109/VISUAL.1990.146394	298	306, 484-5	C		Philip C. Hsu;John Staudhammer	Dept. of Electr. Eng., Florida Univ., Gainesville, FL, USA|c|;			University of Florida Gainesville##University of Florida Gainesville
Vis	1990	Automatic illustration of 3D geometric models: surfaces	10.1109/VISUAL.1990.146395	http://dx.doi.org/10.1109/VISUAL.1990.146395	307	314, 485-6	C		Debra Dooley;Michael F. Cohen	Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA|c|;			University of Utah Salt Lake City##University of Utah Salt Lake City
Vis	1990	Scattered data interpolation tools in a microcomputer visualization environment	10.1109/VISUAL.1990.146396	http://dx.doi.org/10.1109/VISUAL.1990.146396	315	322	C		Keith Voegele	Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA|c|			Arizona State University Tempe
Vis	1990	Design of an end-user data visualization system	10.1109/VISUAL.1990.146397	http://dx.doi.org/10.1109/VISUAL.1990.146397	323	328, 487	C		Donald L. Brittain;Josh Aller;Michael Wilson;Sue-Ling C. Wang	Wavefront Technol. Inc., Santa Barbara, CA, USA|c|;;;			Wavefront Technologies##Wavefront Technologies##Wavefront Technologies##Wavefront Technologies
Vis	1990	A system for three-dimensional acoustic 'visualization' in a virtual environment workstation	10.1109/VISUAL.1990.146398	http://dx.doi.org/10.1109/VISUAL.1990.146398	329	337	C		Elizabeth M. Wenzel;Scott S. Fisher;Philip K. Stone;Scott H. Foster	NASA Ames Res. Center, Moffett Field, CA, USA|c|;;;			NASA-Ames Research Center##NASA-Ames Research Center
Vis	1990	An interpersonal multimedia visualization system	10.1109/VISUAL.1990.146399	http://dx.doi.org/10.1109/VISUAL.1990.146399	338	341	C		Richard L. Phillips	Los Alamos Nat. Lab., NM, USA|c|			Los Alamos Nat. Lab., NM, USA|c|
Vis	1990	Techniques for visualizing 3-dimensional manifolds	10.1109/VISUAL.1990.146400	http://dx.doi.org/10.1109/VISUAL.1990.146400	342	352, 487-8	C		Michael J. Laszlo	Dept. of Electr. Eng. & Comput. Sci., Illinois Univ., Chicago, IL, USA|c|			University of Illinois at Chicago
Vis	1990	Accurate display of tensor product isosurfaces	10.1109/VISUAL.1990.146401	http://dx.doi.org/10.1109/VISUAL.1990.146401	353	360, 489	C		Alyn P. Rockwood	Silicon Graphics Comput. Syst., Mountain View, CA, USA|c|			Silicon Graphics Comput. Syst., Mountain View, CA, USA|c|
Vis	1990	Parallel coordinates: a tool for visualizing multi-dimensional geometry	10.1109/VISUAL.1990.146402	http://dx.doi.org/10.1109/VISUAL.1990.146402	361	378	C		Alfred Inselberg;Bernard Dimsdale	IBM Sci. Center, Los Angeles, CA, USA|c|;			IBM Scientific Center &####IBM Scientific Center &##Wilshire Boulevard University of Southern California Los Angeles
Vis	1990	Visualization of free form volumes	10.1109/VISUAL.1990.146403	http://dx.doi.org/10.1109/VISUAL.1990.146403	379	386	C		Dieter Lasser	Fachbereich Inf., Kaiserslautern Univ., Germany|c|			Universitat Kaiserslaut-ern
Vis	1990	Visualization for nonlinear engineering FEM analysis in manufacturing	10.1109/VISUAL.1990.146412	http://dx.doi.org/10.1109/VISUAL.1990.146412	422	423, 490	C		Gerald W. Edgar	Boeing Comput. Services, Seattle, WA, USA|c|			Boeing Computer Services Seattle
Vis	1990	Volume microscopy of biological specimens based on non-confocal imaging techniques	10.1109/VISUAL.1990.146413	http://dx.doi.org/10.1109/VISUAL.1990.146413	424	428	C		Stephen L. Senft;Vincent J. Argio;William L. van Zandt	Washington Univ. Sch. of Med., St. Louis, MO, USA|c|;;			Washington University School of Medicine
Vis	1990	Visualization for the information age	10.1109/VISUAL.1990.146414	http://dx.doi.org/10.1109/VISUAL.1990.146414	429		C		Laurin Herr	Pacific Interface, New York, NY, USA|c|			Pacific Interface, New York, NY, USA|c|
Vis	1990	Case study in scientific visualization: factors inducing periodic breathing in humans with blunted hypoxic sensitivity	10.1109/VISUAL.1990.146415	http://dx.doi.org/10.1109/VISUAL.1990.146415	430	434	C		Wayne E. Fordyce;Jeffrey Ventrella	Res. Comput. Services, Syracuse Univ., NY, USA|c|;			Research Computing Services 120 Hinds Hall Syracuse University Syracuse##Research Computing Services 120 Hinds Hall Syracuse University Syracuse##Research Computing Services 120 Hinds Hall Syracuse University Syracuse
Vis	1990	Interactive investigation of fluid mechanics data sets	10.1109/VISUAL.1990.146416	http://dx.doi.org/10.1109/VISUAL.1990.146416	435	439, 490	C		Steve M. Legensky				
Vis	1990	Real-world applications of visualization solutions	10.1109/VISUAL.1990.146417	http://dx.doi.org/10.1109/VISUAL.1990.146417	440	442	C		David A. Prawel	Precision Visuals Inc., Boulder, CO, USA|c|			Precision Visuals, Inc
Vis	1990	Personal visualization system: applications in research and engineering	10.1109/VISUAL.1990.146418	http://dx.doi.org/10.1109/VISUAL.1990.146418	443	448, 490-1	C		Quentin E. Dolecek;K. Moorjani;B. F. Kim;D. G. Tilley;Thomas S. Denney Jr.	Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA|c|;;;;			Johns Hopkins University##Johns Hopkins University##Johns Hopkins University##Johns Hopkins University##Johns Hopkins University
Vis	1990	A graphical interface for robotic remediation of underground storage tanks	10.1109/VISUAL.1990.146419	http://dx.doi.org/10.1109/VISUAL.1990.146419	449	456	C		Brian K. Christensen;Lisa M. Desjarlais	Sandia Nat. Lab., Albuquerque, NM, USA|c|;			University of New##University of New
Vis	1991	Scientific visualization from inside the metacomputer	10.1109/VISUAL.1991.175767	http://dx.doi.org/10.1109/VISUAL.1991.175767	2		M		Larry L. Smarr	Nato Centre for Supercomput. Appls., Champaign, IL, USA|c|			Nato Centre for Supercomput. Appls., Champaign, IL, USA|c|
Vis	1991	Visualizing causal effects in 4D space-time vector fields	10.1109/VISUAL.1991.175770	http://dx.doi.org/10.1109/VISUAL.1991.175770	12	16, 406	C		Deborah Silver;M. Gao;Norman J. Zabusky	Rutgers Univ., Piscataway, NJ, USA|c|;;			Rutgers University Piscataway##Rutgers University Piscataway
Vis	1991	The virtual windtunnel: An environment for the exploration of three-dimensional unsteady flows	10.1109/VISUAL.1991.175771	http://dx.doi.org/10.1109/VISUAL.1991.175771	17	24, 407	C		Steve Bryson;Creon Levit	NASA Ames Res. Center, Moffett Field, CA, USA|c|;			NASA Ames Res. Center, Moffett Field, CA, USA|c|;
Vis	1991	Volume rendering of flow-visualization point data	10.1109/VISUAL.1991.175772	http://dx.doi.org/10.1109/VISUAL.1991.175772	25	32	C		Paul Gene Swann;Sudhanshu Kumar Semwal	Dept. of Comput. Sci., Colorado Univ., Colorado Springs, CO, USA|c|;			University of Colorado Colorado Springs##University of Colorado Colorado Springs
Vis	1991	A tool for visualizing the topology of three-dimensional vector fields	10.1109/VISUAL.1991.175773	http://dx.doi.org/10.1109/VISUAL.1991.175773	33	40, 408	C		Al Globus;Creon Levit;T. Lasinski	;;	10.1109/VISUAL.1990.146360;10.1109/VISUAL.1990.146359		Computer Sciences Corporation1 C. Levit
Vis	1991	Two widely-different architectural approaches to computer image generation	10.1109/VISUAL.1991.175776	http://dx.doi.org/10.1109/VISUAL.1991.175776	42	49	C		H. W. Park;K. S. Eo;D. L. Kim;B. K. Choi;Yongmin Kim 0001;T. Alexander	Dept. of Electr. Eng., Washington Univ., Seattle, WA, USA|c|;;;;;			Samsung Advanced Institute of Technology####Samsung Advanced Institute of Technology######University of Washington Seattle
Vis	1991	Fast rotation of volume data on parallel architectures	10.1109/VISUAL.1991.175777	http://dx.doi.org/10.1109/VISUAL.1991.175777	50	57, 409	C		Peter Schröder;James B. Salem	Thinking Machines Corp., Cambridge, MA, USA|c|;			Thinking Machines Corporation##Thinking Machines Corporation
Vis	1991	Achieving direct volume visualization with interactive semantic region selection	10.1109/VISUAL.1991.175778	http://dx.doi.org/10.1109/VISUAL.1991.175778	58	65, 410	C		Terry S. Yoo;Ulrich Neumann;Henry Fuchs;Stephen M. Pizer;Tim J. Cullip;John Rhoades;Ross T. Whitaker	North Carolina Univ., Chapel Hill, NC, USA|c|;;;;;;			University of North Carolina Chapel Hill##University of North Carolina Chapel Hill##University of North Carolina Chapel Hill##University of North Carolina Chapel Hill##University of North Carolina Chapel Hill##University of North Carolina Chapel Hill##University of North Carolina Chapel Hill
Vis	1991	Span filtering: an optimization scheme for volume visualization of large finite element models	10.1109/VISUAL.1991.175780	http://dx.doi.org/10.1109/VISUAL.1991.175780	68	75, 411	C		Richard S. Gallagher	Swanson Analysis Systems Inc., Houston, PA, USA|c|	10.1109/VISUAL.1990.146390		Swanson Analysis Systems, Inc. Houston
Vis	1991	Visualization of equations in an interactive environment	10.1109/VISUAL.1991.175781	http://dx.doi.org/10.1109/VISUAL.1991.175781	76	82, 412	C		David Watson;Jakub Wejchert;David W. Williams;Bri M. Collins	IBM European Visualization Centre, Winchester, UK|c|;;;	10.1109/VISUAL.1990.146401		IBM European Visualization Centre IBM UIi Scientific Centre Winchester##IBM European Visualization Centre IBM UIi Scientific Centre Winchester##IBM European Visualization Centre IBM UIi Scientific Centre Winchester##IBM European Visualization Centre IBM UIi Scientific Centre Winchester
Vis	1991	The asymptotic decider: resolving the ambiguity in marching cubes	10.1109/VISUAL.1991.175782	http://dx.doi.org/10.1109/VISUAL.1991.175782	83	91, 413	C		Gregory M. Nielson;Bernd Hamann	Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA|c|;	10.1109/VISUAL.1990.146363		Arizona State University Tempe##Arizona State University Tempe
Vis	1991	Acoustic imaging: the reconstruction of underwater objects	10.1109/VISUAL.1991.175784	http://dx.doi.org/10.1109/VISUAL.1991.175784	94	101, 414	C		Lawrence J. Rosenblum;Behzad Kamgar-Parsi;Edward O. Belcher;Ola Engelsen	US Naval Res. Lab., Washington, DC, USA|c|;;;			University of Washington######
Vis	1991	Computer assisted sphere packing in higher dimensions	10.1109/VISUAL.1991.175785	http://dx.doi.org/10.1109/VISUAL.1991.175785	102	108	C		Nelson L. Max	California Univ., Davis, CA, USA|c|			University of California
Vis	1991	The electronic structure of oxygen in silicon as revealed by volume visualization of Ab initio calculations	10.1109/VISUAL.1991.175786	http://dx.doi.org/10.1109/VISUAL.1991.175786	109	115, 415	C		Robert H. Wolfe;Mark Needels;John D. Joannopoulos	IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA|c|;;			T. J. Watson Res. Ctr. MIT Yorktown Heights##T. J. Watson Res. Ctr. MIT Yorktown Heights##T. J. Watson Res. Ctr. MIT Yorktown Heights##T. J. Watson Res. Ctr. MIT Yorktown Heights##T. J. Watson Res. Ctr. MIT Yorktown Heights##T. J. Watson Res. Ctr. MIT Yorktown Heights
Vis	1991	Golf green visualization	10.1109/VISUAL.1991.175787	http://dx.doi.org/10.1109/VISUAL.1991.175787	116	123, 416	C		William E. Lorensen;Boris Yamron	General Electric Co., Schenectady, NY, USA|c|;			General Electric Company Corporate Research and Development Schenectady##General Electric Company Corporate Research and Development Schenectady
Vis	1991	The stream polygon: A technique for 3D vector field visualization	10.1109/VISUAL.1991.175789	http://dx.doi.org/10.1109/VISUAL.1991.175789	126	132, 417	C		William J. Schroeder;Christopher R. Volpe;William E. Lorensen	General Electric Corp. Res. & Dev., Schenectady, NY, USA|c|;;			General Electric Corp. Res. & Dev., Schenectady, NY, USA|c|;;
Vis	1991	The hyperbox	10.1109/VISUAL.1991.175790	http://dx.doi.org/10.1109/VISUAL.1991.175790	133	139, 418	C		Bowen Alpern;Larry Carter	IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA|c|;	10.1109/VISUAL.1990.146386;10.1109/VISUAL.1990.146402;10.1109/VISUAL.1990.146387;10.1109/VISUAL.1990.146389		IBM Watson Research Ceder##IBM Watson Research Ceder
Vis	1991	Gray scale diagrams as business charts	10.1109/VISUAL.1991.175791	http://dx.doi.org/10.1109/VISUAL.1991.175791	140	147	C		W. R. Feeney	Dept. of Inf. & Decisions Syst., San Diego State Univ., San Diego, CA, USA|c|			San Diego State University
Vis	1991	Shadowed hedgehogs: a technique for visualizing 2D slices of 3D vector fields	10.1109/VISUAL.1991.175792	http://dx.doi.org/10.1109/VISUAL.1991.175792	148	153	C		R. Victor Klassen;Steven J. Harrington	Xerox Webster Res. Center, Webster, NY, USA|c|;			SOO Phillips Rd##SOO Phillips Rd
Vis	1991	Interactive data visualization using focusing and linking	10.1109/VISUAL.1991.175794	http://dx.doi.org/10.1109/VISUAL.1991.175794	156	163, 419	C		Andreas Buja;John Alan McDonald;J. Michalak;Werner Stuetzle	Bellcore, Morristown, NJ, USA|c|;;;			U. of Washington Morristown##U. of Washington Morristown##U. of Washington Morristown##U. of Washington Morristown
Vis	1991	Color icons: merging color and texture perception for integrated visualization of multiple parameters	10.1109/VISUAL.1991.175795	http://dx.doi.org/10.1109/VISUAL.1991.175795	164	170, 420	C		Haim Levkowitz	Dept. of Comput. Sci., Lowell Univ., MA|c|			University of Lowell Lowell
Vis	1991	Visualization and analysis of multi-variate data: a technique for all fields	10.1109/VISUAL.1991.175796	http://dx.doi.org/10.1109/VISUAL.1991.175796	171	178, 421	C		Ted Mihalisin;John Timlin;John Schwegler	Mihalisin Associates, Ambler, PA, USA|c|;;			Mihalisin Associates, Ambler, PA, USA|c|;;
Vis	1991	The visual comparison of three sequences	10.1109/VISUAL.1991.175797	http://dx.doi.org/10.1109/VISUAL.1991.175797	179	186	C		Kenneth P. Hinkley;Matthew O. Ward	Dept. of Comput. Sci., Worchester Polytech. Inst., MA, USA|c|;			Worcester Polytechnic Inst. Worcester
Vis	1991	Enhanced visualization of multi-dimensional structures. Applications in positron emission tomography and climate data	10.1109/VISUAL.1991.175799	http://dx.doi.org/10.1109/VISUAL.1991.175799	188	193, 422	C		Nahum D. Gershon	Mitre Corp., McLean, VA, USA|c|			The MITRE Corporation McLean
Vis	1991	Topographical mapping of brain electrical activity	10.1109/VISUAL.1991.175800	http://dx.doi.org/10.1109/VISUAL.1991.175800	194	201	C		S. K. Law;P. L. Nunez;A. F. Westdorp;A. V. Nelson;K. L. Pilgreen	Dept. of Biomed. Eng., Tulane Univ., New Orleans, LA, USA|c|;;;;			Tulane University##LCS
Vis	1991	In vivo blood flow visualization with magnetic resonance imaging	10.1109/VISUAL.1991.175801	http://dx.doi.org/10.1109/VISUAL.1991.175801	202	209, 423	C		Guang-Zhong Yang;Peter Burger;Philip J. Kilner;Raad Mohiaddin	Dept. of Comput., Imperial Coll., London Univ., UK|c|;;;			London University##London University##London University##London University##London University##London University
Vis	1991	Visualizing 4-D medical ultrasound data	10.1109/VISUAL.1991.175802	http://dx.doi.org/10.1109/VISUAL.1991.175802	210	215	C		Nils Thune;Bjørn Olstad	Dept. of Sci. & Technol., Christian Michelsen Inst., Fantoft, Norway|c|;			Dept. of Sci. & Technol., Christian Michelsen Inst., Fantoft, Norway|c|;
Vis	1991	Multi-valued volumetric visualization	10.1109/VISUAL.1991.175804	http://dx.doi.org/10.1109/VISUAL.1991.175804	218	225, 424	C		Thomas A. Foley;David A. Lane	Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA|c|;	10.1109/VISUAL.1990.146388;10.1109/VISUAL.1990.146373;10.1109/VISUAL.1990.146362;10.1109/VISUAL.1991.175782;10.1109/VISUAL.1990.146363		Arizona State University Tempe
