PROVINCIA	JCC2010	ONE2010	TSP2009	ASI2010	TMM2011	MED2001	EDU2000	EDU2001	EDU2002	EDU2003	EDU2004	EDU2005	EDU2006	EDU2007	EDU2008	EDU2009	EDU2010	MID1999	MID2000	MID2001	MID2002	MID2003	MID2004	MID2005	MID2006	MID2007	MID2008	MID2009	MID2010	MID2011	MMD1999	MMD2000	MMD2001	MMD2002	MMD2003	MMD2004	MMD2005	MMD2006	MMD2007	MMD2008	MMD2009	MMD2010	MMD2011	IDH2009	DEP2001	DEP2010	POB2010	PBG2011	COP2011	REC2011	GPT2011	ICI2011	TPP2013	SDP2012	ELEC2011	PART2012	DIP1983	DIP1985	DIP1987	DIP1989	DIP1991	DIP1993	DIP1995	DIP1997	DIP1999	DIP2001	DIP2003	DIP2005	DIP2007	DIP2009	PAS2011	DIP2011	VEN1987	VEN2011	VEN1991	VEN1995	VEN1998	VEN2003	VEN2007
La Pampa	13	18.6	33	81.3	7.4	23.2	1767	1650	1627	1845	2270	3130	3962	5447	7815	9491	12192	15.2	15.3	12.4	13.1	12.7	14.6	11.4	10	11.8	14.9	13.7	7	10.4	17	19.3	14.2	14.4	15.3	16.3	14.2	11.1	13.5	16.5	15.5	7.8	11.5	0.844	61.5	56.4	318951	14697	6203	2287	13693	44.2	2.1	1.1	248492	9	10	11	9	8	8	8	7	6	5	7	7	6	10	7	10	5	46.6	35.2	41.1	47.7	48	40.6	45.7
La Rioja	10.7	48.6	42.3	82	6.3	26.7	1485	1500	1570	1557	1858	2240	2819	3523	4993	6843	8297	20.6	20.9	23.5	20.8	17.3	18.2	13.8	14.1	12.9	15	14.6	12.6	16.5	23.6	24.2	26.7	23.8	20.1	21.8	15.7	16.7	15.8	17	16.8	14.4	18.5	0.817	66.2	54	333642	12263	6516	670	12607	50	2.2	7.3	230739	18	9	10	12	9	10	5	6	4	2	4	6	5	6	7	9	4	57	60.5	75.2	77.5	52.9	40.5	33
Mendoza	12.5	22.7	38.5	81.4	4.7	28.3	1004	1037	1005	1135	1593	1852	2423	3369	4399	5221	6105	16.2	14.3	12.1	12.3	11.1	13.5	11.3	11.9	11.3	10.8	9.9	11.7	9.7	19.6	17.2	14.8	15.5	14.2	15.9	14	14.7	13.4	12.6	12	14.3	11.5	0.832	62.4	56	1738929	63774	2514	1675	7522	37.6	9.1	8.2	1230463	23	13	11	12	11	13	9	10	8	7	10	16	16	26	17	10	8	29.9	33.2	49.5	35.9	11	30.4	24.1
Misiones	4.7	42.3	39.1	71.6	8.7	15	767	689	660	753	894	1206	1596	2418	3015	3436	4921	21.7	22.2	19.6	22.3	20.2	16.6	14.6	17.1	14.6	13.9	13	13.2	13.7	25.7	26.1	22.1	26	24.6	19	18	20.6	17.8	16.6	15.5	15.3	17.2	0.802	76.1	63.4	1101593	29835	3136	1187	7181	44.5	5.95	11.9	723642	21	10	11	10	9	6	6	4	7	3	7	7	10	10	9	11	7	40	72.3	42.7	36.3	30.6	39.2	31.6
Neuquen	4.5	24.5	44.5	83.7	2.7	27.6	1795	1861	1953	2405	2646	3702	4714	6202	9185	10535	11969	12.4	11.4	13	11.7	10.8	11.1	9.9	9.8	9.6	7.4	7.6	9.2	7.5	15.1	13.6	15.5	13.3	13.6	13.2	11.8	12	11	8.9	9.1	10.7	9.7	0.842	59.5	49.6	551266	21832	3320	3635	15434	21.6	7.63	16.5	405196	16	10	12	11	8	7	8	9	9	7	9	14	6	11	10	8	8	40.9	38.7	44.1	56.8	34.9	51.2	40.9
Rio Negro	14.1	18.2	41.9	82.5	1.7	25.9	1435	1178	1105	1300	1592	2549	3414	4139	5529	6620	8053	15.8	16.6	14.7	14.8	15.9	14.1	9.4	9.3	9.8	11.7	8.8	9.4	9.6	18.5	20.1	16.4	17	17.8	16.5	11.1	10.9	12.1	13.5	10.7	11.1	11.2	0.831	61.7	52.6	638645	22529	4129	1729	9541	44.1	7.83	17.5	435495	8	12	10	10	8	9	7	5	3	8	9	9	7	8	7	6	6	30.2	26.9	37.5	31.1	31.5	24.2	39.8
Salta	6.8	31.3	49.7	80.6	3.9	20	696	625	594	645	810	1194	1527	2014	2649	3289	3776	21.2	18.8	19.1	18.9	16.9	15.4	14.3	14.9	15.4	14.4	14	12.8	14	26.6	22.6	23.7	23.7	21.5	19.6	18.1	19	19.9	18.2	17.5	16.2	16.3	0.817	72.1	61.7	1214441	29862	3300	1150	6427	49.3	8.18	6.6	817094	21	12	10	9	11	12	9	11	6	9	8	9	14	15	12	10	7	41.6	53.8	30	30.9	48.1	41.3	39.2
San Juan	6.9	36.1	40.6	78.6	4.2	25	1217	1175	1159	1223	1340	1884	2449	3400	4597	5451	6463	20.7	19.4	18.8	20.2	19.6	16.4	16.7	14	13.2	14.4	11	11	9.9	23.1	22.4	21.4	23.5	23.4	18.5	19.3	16.9	15.8	16.5	12.9	13.5	12.1	0.814	63.9	59.8	681055	27297	5182	1293	7953	53	8.23	7	468663	18	12	9	11	9	10	8	8	7	5	10	12	10	13	7	9	6	3.9	60.2	17.9	35	23.1	7.7	40.8
San Luis	3.7	33.7	37.4	80.5	3.9	25.2	1429	1465	1296	1278	1506	2187	2478	3022	3516	3873	4700	18.9	17.2	17.8	16.5	17.4	15.2	16	12.8	15.7	13.1	12.9	10.7	12.3	20.8	19.4	19.4	18.4	20.2	17.6	17.7	14.5	18.3	14.9	14	12.5	14.7	0.815	64.1	57.7	432310	15313	5529	2006	10170	55.2	6.1	1.7	310367	18	9	8	7	9	11	8	9	5	4	5	6	11	7	6	8	3	44.2	36.7	47	62.2	31.5	86.8	79.4
Santa Cruz	4	25	45.8	89.2	0	25	2425	2489	2392	2528	2936	3472	4316	8040	11970	13098	15202	13.2	17.2	14.5	17.2	15.5	11.9	11	15.4	12.9	10.6	10.3	9.7	9.7	15.9	19.9	17.1	18.6	17.3	13.8	12.9	17.8	14.4	12.9	12.9	11.5	11.7	0.862	59.6	50.2	273964	8607	6093	3423	26862	22.3	2.3	10.4	195946	9	10	10	8	9	7	5	6	5	5	5	4	4	4	5	9	6	40.9	35	51	55.2	39.5	56.3	47.7
Santa Fe	4.3	23.7	37.9	76.9	3	31.6	1124	1064	1041	1173	1492	2023	2669	3617	5078	6543	7740	15.2	14.4	14.3	14	13.9	12	12.4	11	11.6	11.5	11.1	10.3	10.8	17.2	16.6	16.7	16.2	16.1	14.2	14.6	13	13.7	13.5	12.9	12.1	12.4	0.832	61.2	54.2	3194537	127878	2918	2068	6977	44.2	8.38	1	2442569	28	14	12	15	14	13	12	11	10	13	13	16	19	21	14	16	9	39.8	27.6	40.2	40.9	47	36.3	36.1
Santiago del Estero	1.2	49.8	71.9	66.5	5.5	15.7	1017	996	923	934	1241	1609	2087	2623	3508	4204	5273	15.5	13.2	14.8	12.4	14.2	13.8	11.7	12.1	13.8	10.4	12.1	14	11.7	19.5	16.3	18.6	15.7	18	16.5	13.9	14.2	16.5	12.6	15.1	16.5	13.6	0.784	74.6	64.8	874006	22320	4923	761	9051	54.6	5.7	1.2	600887	18	10	7	11	10	10	6	8	4	8	7	10	7	17	10	8	5	43.8		47.7	59.8	51	33.1	84.1
Tierra del Fuego	70.3	21.3	35.1	94.8	11.8	33.2	2172	1871	1787	2526	3914	5615	7171	10938	12883	14078	17791	7.8	10.5	10.1	9.1	8.4	4.1	6.7	10.9	10.2	6.8	4.6	9.9	7.1	10.7	13.1	11.1	10.5	8.4	7.8	9.2	12.5	13.3	8	6.9	11.9	9.8	0.871	58.1	45.4	127205	5805	10367	4499	27680	39.3	8.7	8.1	97058	11	13	12		11	13	10	7	4	6	10	8	8	14	12	12	9		24.2		44	-3.6	21.1	5.6
Tucuman	11.1	41.1	30	78.3	3.7	28.1	920	940	911	961	1147	1591	2101	2804	3877	4711	5443	22.5	22.4	24.5	24.3	23	20.5	16.2	13.5	12.9	13.8	13.1	14.1	14.1	25	24.9	26.9	27	25.1	22.4	18.4	15.6	14.7	15.6	14.5	15.9	15.6	0.824	64.7	56.7	1448100	45624	3432	1589	7749	44.9	7.68	9.2	1018558	19	16	15	14	14	14	8	9	6	8	10	11	14	14	13	15	7	19	68	-6.5	23.6	25.1	36.5	76.3
